alpha,instance_id,hd_mean,hd_min,hd_max,hd_std,eng_count,bit_count,gs_count,best_energy,best_delta,target_density
0.02,95,1.02,0,9,1.8760597005426027,73,73,73,-5353.540000003009,-3.0086084734648466e-09,0.5607626514611547
0.02,96,8.41,0,27,5.567934985252611,11,11,11,-5130.920000002403,-2.4028850020840764e-09,0.5595153243050606
0.02,97,7.03,0,30,6.140773566905068,26,26,26,-5073.440000002255,-2.254637365695089e-09,0.5641482537419815
0.02,98,7.72,0,24,5.558920758564562,12,12,12,-4964.380000002345,-2.344677341170609e-09,0.5479330007127584
0.02,99,2.49,0,10,2.8407569413802367,48,48,48,-5219.3800000026595,-2.659362507984042e-09,0.561831789023521
0.02,100,10.34,0,31,6.230922885094952,4,4,4,-4889.320000002355,-2.355591277591884e-09,0.5479330007127584
0.02,101,4.32,0,22,3.9443123608558186,27,27,27,-4978.020000002256,-2.255546860396862e-09,0.5538132573057734
0.02,102,9.39,0,26,5.7582896766314215,8,8,8,-4895.020000002193,-2.19279172597453e-09,0.5514967925873129
0.02,103,5.15,0,24,4.4235167005449405,24,24,24,-5119.680000002703,-2.7030182536691427e-09,0.5502494654312188
0.02,104,3.52,0,17,3.9255063367672713,42,42,42,-4963.70000000228,-2.280103217344731e-09,0.5548823948681397
0.02,105,3.66,0,23,4.441216049687292,43,43,43,-5016.280000002573,-2.572960511315614e-09,0.5514967925873129
0.02,106,3.91,0,16,3.6030403827878477,32,32,32,-5370.100000002912,-2.9112925403751433e-09,0.5655737704918032
0.02,107,4.06,0,19,4.142028488554853,38,38,38,-4971.380000002412,-2.4119799491018057e-09,0.5490021382751248
0.02,108,9.3,0,24,5.860887304837042,6,6,6,-4965.680000002365,-2.3646862246096134e-09,0.554704205274412
0.02,109,4.11,0,16,4.3746885603434675,40,40,40,-5070.740000002466,-2.4665496312081814e-09,0.5630791161796151
0.02,110,5.64,0,26,4.546471159041922,22,22,22,-4875.440000002183,-2.1827872842550278e-09,0.5534568781183179
0.02,111,0.06,0,3,0.42,98,98,98,-5352.640000002955,-2.954948286060244e-09,0.5557733428367784
0.02,112,3.95,0,15,3.453621287865825,30,30,30,-4971.860000002387,-2.3874235921539366e-09,0.5570206699928724
0.02,113,12.69,0,27,6.427588972546393,4,4,4,-4936.980000002193,-2.193701220676303e-09,0.5575552387740556
0.02,114,12.87,0,34,6.301833066656083,2,2,2,-5074.780000002104,-2.104570739902556e-09,0.5689593727726301
0.02,115,2.89,0,10,2.9082468946085025,40,40,40,-5240.600000002753,-2.7530404622666538e-09,0.5643264433357092
0.02,116,16.58,3,32,7.173813490745351,0,0,0,-4834.080000001999,0.23999999800071237,0.5555951532430506
0.02,117,7.73,0,23,5.00370862461035,11,11,11,-4916.140000002283,-2.28283170145005e-09,0.5465074839629366
0.02,118,7.15,0,26,5.097793640389929,9,9,9,-5026.660000002439,-2.4392647901549935e-09,0.5548823948681397
0.02,119,0.0,0,0,0.0,100,100,100,-5576.8200000030765,-3.0768205760978162e-09,0.5623663578047042
0.02,120,18.64,0,39,7.73759652605381,1,1,1,-4860.720000002025,-2.0245352061465383e-09,0.5602280826799715
0.02,121,4.12,0,16,3.7021075078933077,27,27,27,-5174.740000002628,-2.6284396881237626e-09,0.5593371347113328
0.02,122,18.66,3,47,7.981503617740206,0,0,0,-4748.540000002034,0.29999999796655175,0.5445473984319316
0.02,123,6.86,0,20,4.593517170970411,11,11,11,-4957.200000002239,-2.2391759557649493e-09,0.5604062722736992
0.02,124,3.62,0,18,4.124996969695857,45,45,45,-4896.8200000024935,-2.4938344722613692e-09,0.5368852459016393
0.02,125,8.39,0,24,5.656668630916964,12,12,12,-4997.020000002181,-2.180968294851482e-09,0.5554169636493229
0.02,126,2.92,0,12,2.704366839021659,35,35,35,-5331.940000002927,-2.926753950305283e-09,0.5634354953670706
0.02,127,3.25,0,16,3.8088712238667246,45,45,45,-5169.360000002631,-2.6311681722290814e-09,0.5575552387740556
0.02,128,2.18,0,9,2.422312944274542,48,48,48,-5179.200000002643,-2.6429916033521295e-09,0.5596935138987883
0.02,129,7.84,0,28,5.695120718650308,13,13,13,-4918.460000002326,-2.3255779524333775e-09,0.5525659301496793
0.02,130,7.28,0,27,5.1557346712180605,9,9,9,-4932.880000002361,-2.3610482458025217e-09,0.5486457590876693
0.02,131,5.65,0,17,4.78617801591207,24,24,24,-4990.880000002425,-2.4247128749266267e-09,0.5490021382751248
0.02,132,12.84,0,33,7.309883720005402,4,4,4,-4869.340000002119,-2.119122655130923e-09,0.5493585174625801
0.02,133,0.12,0,3,0.5878775382679627,96,96,96,-5597.44000000296,-2.9594957595691085e-09,0.5536350677120456
