alpha,instance_id,read_idx,hd,energy,delta_energy,is_target
0.005,0,30,395,-4555.040000000595,38.19999999940501,0
0.005,0,31,379,-4554.980000000597,38.25999999940268,0
0.005,0,32,395,-4554.900000000579,38.3399999994208,0
0.005,0,33,386,-4554.655000000595,38.58499999940523,0
0.005,0,34,347,-4554.525000000618,38.71499999938169,0
0.005,0,35,369,-4554.335000000604,38.90499999939584,0
0.005,0,36,362,-4554.200000000597,39.039999999402426,0
0.005,0,37,356,-4554.160000000605,39.07999999939511,0
0.005,0,38,408,-4554.075000000602,39.16499999939788,0
0.005,0,39,371,-4554.015000000602,39.22499999939737,0
0.005,0,40,360,-4553.890000000593,39.349999999406464,0
0.005,0,41,385,-4553.855000000598,39.38499999940177,0
0.005,0,42,398,-4553.7450000005765,39.49499999942327,0
0.005,0,43,389,-4553.59000000058,39.64999999941938,0
0.005,0,44,368,-4553.590000000599,39.64999999940119,0
0.005,0,45,373,-4553.315000000607,39.92499999939264,0
0.005,0,46,390,-4553.260000000587,39.97999999941294,0
0.005,0,47,383,-4553.150000000593,40.089999999407155,0
0.005,0,48,430,-4553.085000000584,40.15499999941585,0
0.005,0,49,344,-4552.9950000006065,40.24499999939326,0
0.005,0,50,380,-4552.800000000594,40.4399999994057,0
0.005,0,51,397,-4552.240000000597,40.99999999940246,0
0.005,0,52,403,-4552.100000000592,41.13999999940734,0
0.005,0,53,382,-4552.025000000601,41.21499999939897,0
0.005,0,54,369,-4551.915000000589,41.324999999410466,0
0.005,0,55,386,-4551.900000000591,41.339999999408974,0
0.005,0,56,397,-4551.8250000005855,41.41499999941425,0
0.005,0,57,382,-4551.595000000588,41.64499999941199,0
0.005,0,58,366,-4551.335000000597,41.90499999940312,0
0.005,0,59,392,-4551.000000000595,42.23999999940497,0
0.005,0,60,392,-4550.960000000602,42.27999999939766,0
0.005,0,61,409,-4550.920000000589,42.319999999410356,0
0.005,0,62,359,-4550.8400000005995,42.39999999940028,0
0.005,0,63,382,-4550.685000000593,42.55499999940639,0
0.005,0,64,393,-4550.680000000594,42.55999999940559,0
0.005,0,65,411,-4550.470000000586,42.76999999941381,0
0.005,0,66,397,-4550.460000000593,42.779999999406755,0
0.005,0,67,402,-4550.390000000587,42.84999999941283,0
0.005,0,68,357,-4550.270000000609,42.96999999939089,0
0.005,0,69,353,-4550.245000000605,42.99499999939508,0
0.005,0,70,385,-4550.065000000603,43.17499999939719,0
0.005,0,71,394,-4549.925000000596,43.31499999940388,0
0.005,0,72,408,-4549.860000000576,43.37999999942349,0
0.005,0,73,407,-4549.795000000582,43.44499999941763,0
0.005,0,74,404,-4549.745000000593,43.4949999994069,0
0.005,0,75,381,-4549.575000000588,43.66499999941152,0
0.005,0,76,390,-4549.380000000594,43.85999999940577,0
0.005,0,77,353,-4549.320000000617,43.919999999382526,0
0.005,0,78,394,-4549.2250000005815,44.01499999941825,0
0.005,0,79,402,-4549.160000000593,44.07999999940694,0
0.005,0,80,419,-4549.005000000574,44.23499999942578,0
0.005,0,81,385,-4548.725000000587,44.514999999412794,0
0.005,0,82,396,-4548.365000000597,44.87499999940246,0
0.005,0,83,381,-4548.340000000608,44.899999999392094,0
0.005,0,84,410,-4547.850000000597,45.38999999940279,0
0.005,0,85,410,-4547.805000000591,45.43499999940923,0
0.005,0,86,414,-4547.775000000588,45.4649999994117,0
0.005,0,87,391,-4547.55500000059,45.68499999941014,0
0.005,0,88,391,-4547.405000000593,45.834999999407046,0
0.005,0,89,394,-4546.960000000597,46.27999999940312,0
0.005,0,90,375,-4546.385000000601,46.85499999939839,0
0.005,0,91,401,-4546.115000000593,47.12499999940701,0
0.005,0,92,427,-4546.080000000588,47.15999999941141,0
0.005,0,93,360,-4545.885000000608,47.35499999939202,0
0.005,0,94,413,-4545.840000000582,47.39999999941756,0
0.005,0,95,388,-4545.8050000006015,47.434999999398315,0
0.005,0,96,426,-4545.685000000578,47.55499999942185,0
0.005,0,97,373,-4545.285000000616,47.9549999993842,0
0.005,0,98,433,-4542.830000000583,50.40999999941687,0
0.005,0,99,388,-4541.6750000006,51.56499999939933,0
0.01,0,0,268,-4682.820000000564,35.65999999943597,0
0.01,0,1,256,-4681.54000000058,36.93999999941934,0
0.01,0,2,265,-4681.4500000005755,37.029999999424035,0
0.01,0,3,306,-4680.960000000553,37.519999999446554,0
0.01,0,4,298,-4680.2200000005505,38.259999999449064,0
0.01,0,5,274,-4679.940000000562,38.539999999437896,0
0.01,0,6,275,-4679.580000000574,38.899999999425745,0
0.01,0,7,282,-4679.540000000559,38.93999999944026,0
0.01,0,8,284,-4679.38000000057,39.0999999994292,0
0.01,0,9,293,-4679.220000000568,39.259999999431784,0
0.01,0,10,291,-4679.140000000546,39.33999999945354,0
0.01,0,11,298,-4678.860000000567,39.619999999432366,0
0.01,0,12,269,-4678.090000000571,40.389999999428255,0
0.01,0,13,283,-4677.290000000562,41.18999999943753,0
0.01,0,14,275,-4677.190000000575,41.28999999942425,0
0.01,0,15,306,-4677.10000000055,41.379999999449865,0
0.01,0,16,270,-4677.020000000574,41.459999999425236,0
0.01,0,17,280,-4677.0100000005605,41.469999999439096,0
0.01,0,18,291,-4676.590000000558,41.8899999994419,0
0.01,0,19,272,-4676.230000000577,42.24999999942247,0
0.01,0,20,296,-4676.000000000553,42.47999999944659,0
0.01,0,21,314,-4675.630000000551,42.8499999994483,0
0.01,0,22,270,-4675.6200000005565,42.85999999944306,0
0.01,0,23,290,-4675.530000000564,42.94999999943593,0
0.01,0,24,272,-4675.4800000005625,42.99999999943702,0
0.01,0,25,312,-4675.19000000055,43.28999999944972,0
0.01,0,26,310,-4674.880000000548,43.59999999945194,0
0.01,0,27,280,-4674.830000000564,43.64999999943575,0
0.01,0,28,277,-4674.410000000565,44.06999999943491,0
0.01,0,29,307,-4674.370000000562,44.109999999437605,0
0.01,0,30,279,-4674.140000000566,44.33999999943353,0
0.01,0,31,283,-4674.000000000558,44.479999999441134,0
0.01,0,32,307,-4673.930000000565,44.549999999434476,0
0.01,0,33,281,-4673.850000000569,44.629999999430765,0
0.01,0,34,304,-4673.7700000005525,44.709999999447064,0
0.01,0,35,282,-4673.690000000554,44.78999999944517,0
0.01,0,36,271,-4673.590000000576,44.88999999942371,0
0.01,0,37,284,-4673.420000000572,45.05999999942742,0
0.01,0,38,290,-4673.410000000578,45.06999999942127,0
0.01,0,39,289,-4673.400000000575,45.07999999942422,0
0.01,0,40,287,-4673.380000000555,45.09999999944466,0
0.01,0,41,287,-4673.240000000568,45.23999999943135,0
0.01,0,42,315,-4672.970000000548,45.50999999945179,0
0.01,0,43,300,-4672.810000000549,45.66999999945074,0
0.01,0,44,273,-4672.520000000569,45.95999999943069,0
0.01,0,45,292,-4672.490000000563,45.989999999436805,0
0.01,0,46,280,-4672.420000000559,46.05999999944015,0
0.01,0,47,309,-4672.410000000553,46.069999999446736,0
0.01,0,48,268,-4672.120000000571,46.35999999942851,0
0.01,0,49,305,-4672.060000000558,46.41999999944164,0
0.01,0,50,298,-4671.930000000564,46.549999999435386,0
0.01,0,51,305,-4671.910000000562,46.56999999943764,0
0.01,0,52,274,-4671.810000000559,46.66999999944073,0
0.01,0,53,278,-4671.75000000056,46.729999999439315,0
0.01,0,54,278,-4671.680000000564,46.799999999435386,0
0.01,0,55,284,-4671.620000000565,46.859999999434876,0
0.01,0,56,308,-4671.390000000559,47.089999999440806,0
0.01,0,57,326,-4671.360000000527,47.119999999472384,0
0.01,0,58,288,-4671.340000000551,47.139999999448264,0
0.01,0,59,331,-4671.200000000542,47.27999999945769,0
0.01,0,60,300,-4670.9000000005635,47.57999999943604,0
0.01,0,61,310,-4670.510000000553,47.96999999944637,0
0.01,0,62,305,-4670.450000000554,48.02999999944586,0
0.01,0,63,301,-4670.350000000553,48.12999999944623,0
0.01,0,64,292,-4670.290000000556,48.1899999994439,0
0.01,0,65,311,-4670.250000000557,48.22999999944295,0
0.01,0,66,283,-4670.220000000552,48.259999999447246,0
0.01,0,67,295,-4670.140000000548,48.33999999945172,0
0.01,0,68,304,-4670.11000000056,48.36999999943964,0
0.01,0,69,266,-4669.780000000577,48.69999999942229,0
0.01,0,70,312,-4669.670000000558,48.80999999944197,0
0.01,0,71,322,-4669.250000000549,49.22999999945023,0
0.01,0,72,283,-4669.210000000567,49.26999999943291,0
0.01,0,73,297,-4668.900000000568,49.57999999943149,0
0.01,0,74,302,-4668.850000000559,49.62999999944077,0
0.01,0,75,275,-4668.820000000568,49.65999999943142,0
